application,form_name,attribute_name,attribute_label,type_name
eCommerce Application,Support Ticket,attachments,Attachments,file
eCommerce Application,Support Ticket,created_date,Created Date,date
eCommerce Application,Support Ticket,updated_date,Updated Date,date
eCommerce Application,Support Ticket,customer_name,Customer Name,text
eCommerce Application,Support Ticket,customer_email,Customer Email,email
eCommerce Application,Support Ticket,ticket_id,Ticket ID,readonly
eCommerce Application,Support Ticket,assigned_to,Assigned To,text
eCommerce Application,Support Ticket,department,Department,dropdown
eCommerce Application,Support Ticket,resolution,Resolution,textarea
eCommerce Application,Support Ticket,comments,Comments,textarea
eCommerce Application,Support Ticket,follow_up_date,Follow-up Date,date
eCommerce Application,Support Ticket,closure_date,Closure Date,date
eCommerce Application,Support Ticket,response_time,Response Time,time
eCommerce Application,Support Ticket,resolution_time,Resolution Time,time
eCommerce Application,Support Ticket,customer_feedback,Customer Feedback,textarea
eCommerce Application,Support Ticket,satisfaction_rating,Satisfaction Rating,number
